開始訓練程序
開始訓練過程...
使用設備: cuda
配置數據轉換...
加載訓練集和驗證集...
訓練集大小: 63325個樣本
驗證集大小: 450個樣本
創建數據加載器...
訓練批次數: 990
驗證批次數: 8
初始化模型...
模型初始化完成
開始訓練循環...

==================================================
Epoch 1/20 開始
訓練階段:
  批次 710/990 | 損失: 1.9453 | 準確率: 36.77% | 處理時間: 0.22秒
  批次 720/990 | 損失: 2.0995 | 準確率: 36.85% | 處理時間: 0.26秒
  批次 730/990 | 損失: 2.3988 | 準確率: 36.87% | 處理時間: 0.22秒
  批次 740/990 | 損失: 1.7059 | 準確率: 36.97% | 處理時間: 0.21秒
  批次 750/990 | 損失: 2.0639 | 準確率: 37.00% | 處理時間: 0.22秒
  批次 760/990 | 損失: 1.8769 | 準確率: 37.05% | 處理時間: 0.22秒
  批次 770/990 | 損失: 1.9302 | 準確率: 37.13% | 處理時間: 0.22秒
  批次 780/990 | 損失: 1.9020 | 準確率: 37.16% | 處理時間: 0.22秒
  批次 790/990 | 損失: 1.8113 | 準確率: 37.18% | 處理時間: 0.22秒
  批次 800/990 | 損失: 2.2052 | 準確率: 37.21% | 處理時間: 0.22秒
  批次 810/990 | 損失: 2.3131 | 準確率: 37.20% | 處理時間: 0.22秒
  批次 820/990 | 損失: 1.9459 | 準確率: 37.20% | 處理時間: 0.22秒
  批次 830/990 | 損失: 1.9285 | 準確率: 37.23% | 處理時間: 0.22秒
  批次 840/990 | 損失: 2.0753 | 準確率: 37.25% | 處理時間: 0.22秒
  批次 850/990 | 損失: 1.6362 | 準確率: 37.29% | 處理時間: 0.22秒
  批次 860/990 | 損失: 2.0763 | 準確率: 37.36% | 處理時間: 0.26秒
