加載數據集...
訓練集: 63325個樣本
驗證集: 450個樣本
初始化WideCNN模型...
模型參數數量: 1,536,356
開始訓練 WideCNN 模型...
訓練設備: cuda
訓練集大小: 63325 樣本
驗證集大小: 450 樣本
批次大小: 64
總訓練批次數: 990
總驗證批次數: 8
總訓練輪數: 20

============================================================
Epoch 1/20 開始
訓練階段:
訓練 Epoch 1/20:  32%|██▌     | 319/990 [03:01<06:19,  1.77it/s, loss=3.7163, acc=4.14%, time=0.574s]
  批次 430/990 | 損失: 3.2828 | 準確率: 0.1471 | 批次時間: 0.476秒
  批次 440/990 | 損失: 3.2826 | 準確率: 0.1470 | 批次時間: 0.480秒
  批次 450/990 | 損失: 3.2819 | 準確率: 0.1474 | 批次時間: 0.546秒
  批次 460/990 | 損失: 3.2810 | 準確率: 0.1479 | 批次時間: 0.487秒
  批次 470/990 | 損失: 3.2822 | 準確率: 0.1475 | 批次時間: 0.481秒
  批次 480/990 | 損失: 3.2811 | 準確率: 0.1478 | 批次時間: 0.489秒
  批次 490/990 | 損失: 3.2818 | 準確率: 0.1479 | 批次時間: 0.485秒
  批次 500/990 | 損失: 3.2817 | 準確率: 0.1482 | 批次時間: 0.488秒
  批次 510/990 | 損失: 3.2803 | 準確率: 0.1486 | 批次時間: 0.477秒
  批次 520/990 | 損失: 3.2784 | 準確率: 0.1490 | 批次時間: 0.661秒
  批次 530/990 | 損失: 3.2759 | 準確率: 0.1497 | 批次時間: 0.486秒
  批次 540/990 | 損失: 3.2746 | 準確率: 0.1500 | 批次時間: 0.535秒
  批次 550/990 | 損失: 3.2730 | 準確率: 0.1503 | 批次時間: 0.475秒
  批次 560/990 | 損失: 3.2737 | 準確率: 0.1505 | 批次時間: 0.477秒
  批次 570/990 | 損失: 3.2734 | 準確率: 0.1505 | 批次時間: 0.476秒
